location,Followers,Hashtags,Username,Datetime,Text,Original,Unlemmatize
,113,,WhosItaliun,2022-12-29 23:50:40+00:00,"['gotcha', 'i', 'thought', 'banner', 'i', 'mad', 'confused', 'lmaoo', 'g', 'tho']",Gotcha I thought it was a banner I was mad confused lmaoo gs tho,gotcha i thought banner i mad confused lmaoo gs tho
"Florida, USA",9,"['Twitch', 'smallstreamerssupport', 'SmallStreamersConnectRT', 'ApexLegends']",rigsby_9,2022-12-29 23:50:39+00:00,"['come', 'great', 'drop', 'hang', 'amazing', 'people', 'there', 'place', 'better', 'be', 'butt', 'here']","Come get some great drops and hang out with some amazing people! Theres no place better to be, so get your butts in here!",come great drops hang amazing people theres place better be butts here 
,1175,['ApexLegends'],ApexTOP10_JPN,2022-12-29 23:50:21+00:00,"['top', 'jpn', 'tttcheekyttt_sbi', 'pad_volzz', 'dfm', '_', 'tappy', 'milimfps', 'se_licco', 'kantera_b', 'ldn_kuroton', 'fc_umichanloveti', 'blackpink']","TOP10 in JPN (60,486) tttcheekyttt_SBI (51,502) pad_VOLzZ (49,924) DFM_1tappy4 (45,253) MiliMfps5 (45,095) SE_Licco286 (44,210) Kantera_b7 (43,779) LDN_Kuroton8 (42,078) FC_UmichanLoveti9 (41,548) BlackPink (41,386)",top jpn tttcheekyttt_sbi pad_volzz dfm_ tappy milimfps se_licco kantera_b ldn_kuroton fc_umichanloveti blackpink 
"Texas, USA",21,['PS4live'],prdxr_,2022-12-29 23:49:53+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:49:47+00:00,"['eating', 'preds', 'nom', 'nom']",Eating preds nom nom,eating preds nom nom
Gamer Heaven🕊,1787,,pringlmepapi,2022-12-29 23:49:39+00:00,"['im', 'video', 'game', 'if', 'dont', 'play', 'apex', 'dont', 'know', 'legend', 'dont', 'comment']",. Im not in any video game. If you dont play apex and dont know the legend just dont comment., im video game if dont play apex dont know legend dont comment 
,987,,iiTzCherri,2022-12-29 23:48:49+00:00,"['you', 'it']",You should get it!,you it 
"Memphis, TN",2033,,haynlo1,2022-12-29 23:48:27+00:00,"['ranked', 'apex', 'legend', ""let's"", 'vibe']",Ranked APEX LEGENDS LET'S VIBE via,ranked apex legends let's vibe
"Toronto, Ontario",94,,steakwhistleTV,2022-12-29 23:47:08+00:00,"['bout', 'like', 'totally', 'sure', 'thing']",how bout like totally for sure the whole thing,bout like totally sure thing
 ,642,,TotaIlyGnarly,2022-12-29 23:46:58+00:00,"['my', 'favorite', 'wraith', 'skin', 'time']",My favorite wraith skin of all time,my favorite wraith skin time
"New York, USA",1488,,Shadow_oBv,2022-12-29 23:46:57+00:00,"['live', 'nowim', 'grinding', 'ranked', 'apex', 'hoping', 'reach', 'master', 'who', 'want', 'help', 'reach', 'follower', 'goal', 'come', 'chat']","LIVE NOWIm grinding some ranked apex,hoping to reach masters Who wants to help me reach my followers goal and come chat with me",live nowim grinding ranked apex hoping reach masters who wants help reach followers goal come chat
"Pennsylvania, USA",1005,,Haalaven,2022-12-29 23:46:20+00:00,"['apex', 'easy', 'game']",Apex is an easy game,apex easy game
Everywhere,311,,MariaTokidoki,2022-12-29 23:45:24+00:00,"['tony', 'apex', 'variety', 'game', 'streameryou', 'seen', 'tony', 'altesu', 'amp', 'i', 'play', 'apex', 'legend', 'time', 'stream', ""he's"", 'super', 'chill', 'amp', 'fun', 'talk', 'sure', 'follow', 'good', 'time', 'chat']","Tony ()Apex/Variety Game StreamerYou may have seen Tony, Altesu, &amp; I play Apex Legends several times on my stream He's super chill &amp; fun to talk to so make sure to follow so we can all have a good time together in his chat :",tony apex variety game streameryou seen tony altesu amp i play apex legends times stream he's super chill amp fun talk sure follow good time chat 
"South Dakota, USA",37,,CaptorchTweets,2022-12-29 23:45:11+00:00,"['drop', 'brother']",Drop that brother,drop brother
,4,,TSillinger,2022-12-29 23:44:55+00:00,"['i', 'love', 'im', 'playing', 'bangalore', 'frame', 'like', 'im', 'shot', 'i', 'shit', 'cause']",I love how when Im playing Bangalore my frames to like when Im being shot and I cant do shit cause of it,i love im playing bangalore frames like im shot i shit cause
Cap City,330,,Goonytunes_,2022-12-29 23:44:53+00:00,"['only', 'skin', 'i', 'dont', 'id', 'suck', 'dick', 'wait']",Only skin I dont have that Id suck dick for wait what,only skin i dont id suck dick wait
,1037,"['EOYG', 'PS5Share', 'ApexLegends']",Kie_Aarreon,2022-12-29 23:44:42+00:00,"['diamond', 'grind']","Diamond grind ,",diamond grind 
