location,Followers,Hashtags,Username,Datetime,Text
"Memphis, TN",2033,,haynlo1,2022-12-29 23:48:27+00:00,Ranked APEX LEGENDS LET'S VIBE https://t.co/fNv6vU2cV3 via @YouTube
"Toronto, Ontario",94,,steakwhistleTV,2022-12-29 23:47:08+00:00,@zemdi_ @PlayApex @RSPN_JayBiebs how bout like totally for sure the whole thing
 ,642,,TotaIlyGnarly,2022-12-29 23:46:58+00:00,@Goonytunes_ @PlayApex My favorite wraith skin of all time
"New York, USA",1488,,Shadow_oBv,2022-12-29 23:46:57+00:00,"LIVE NOW🥰
I’m grinding some ranked apex,hoping to reach masters 😈
Who wants to help me reach my 500 followers goal and come chat with me 😌
@SaviorUnitedHQ 
@PlayApex 
@Twitch 
https://t.co/kJDXUaFj5s"
"Pennsylvania, USA",1005,,Haalaven,2022-12-29 23:46:20+00:00,Apex is an easy game @PlayApex https://t.co/uHEF5HSG46
Everywhere,311,,MariaTokidoki,2022-12-29 23:45:24+00:00,"❣ Tony @stoneytonyz100 (https://t.co/OmzOulkAo2)

Apex/Variety Game Streamer

You may have seen Tony, Altesu, &amp; I play Apex Legends several times on my stream😛 He's super chill &amp; fun to talk to so make sure to follow so we can all have a good time together in his chat🥳✨ :"
"South Dakota, USA",37,,CaptorchTweets,2022-12-29 23:45:11+00:00,@TeqAPEX @PlayApex Drop that -252 brother 🙏
,4,,TSillinger,2022-12-29 23:44:55+00:00,@PlayApex I love how when I’m playing Bangalore my frames to like 30 when I’m being shot and I can’t do shit cause of it
Cap City,330,,Goonytunes_,2022-12-29 23:44:53+00:00,@TotaIlyGnarly @PlayApex Only skin I don’t have that I’d suck dick for wait what
,1037,"['EOYG', 'PS5Share', 'ApexLegends']",Kie_Aarreon,2022-12-29 23:44:42+00:00,"Diamond grind #EOYG #PS5Share, #ApexLegends https://t.co/OOpJg6qyzE"
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:44:33+00:00,"I baited running away XD
#PS5Share #ApexLegends https://t.co/lKWs7kqvk2"
,209,"['SmallStreamersConnectRT', 'ApexLegends', 'twitch', 'streaming', 'holidayseason', 'twitchdrops']",ltz_Diamond,2022-12-29 23:44:16+00:00,"Last day for the Apex Twitch drops friends 🥰

https://t.co/wT8Q7pbnEV

#SmallStreamersConnectRT #ApexLegends #twitch #streaming #holidayseason #twitchdrops https://t.co/CviZm2PbTi"
Cap City,330,,Goonytunes_,2022-12-29 23:43:34+00:00,@ImNutty__ @PlayApex I personally like that one a lot and these ones were in S at first but I moved them because I don’t like them as much but the list is in order for every tier too so these are the best in A
,128,"['Live', 'TwitchStreamers', 'TwitchAffilate', 'YouTube', 'ApexLegends', 'CallofDuty', 'CallofDutyWarzone', 'ModernWarfare2', 'ModernWarfareII', 'Fortnite', 'FortniteChapter4']",Drumsticc_,2022-12-29 23:43:10+00:00,"❗️NEW❗️Just a video I dropped, hope you enjoy and have a great day! https://t.co/lzHkQ22KoS #Live #TwitchStreamers #TwitchAffilate #YouTube #ApexLegends #CallofDuty #CallofDutyWarzone #ModernWarfare2 #ModernWarfareII #Fortnite #FortniteChapter4 https://t.co/qnD0wKvmof"
"Toronto, Ontario",337,"['ApexLegends', 'movement']",jJoshujtv,2022-12-29 23:42:47+00:00,"I don't see it often but I regularly fuck around with this.
Pretty simple but cool movement off interactable moveable objects (doors, pills, sliding doors). Gives a little boost. Any one else do this?

#ApexLegends #movement https://t.co/RREtMptV6v"
,2,"['PlayApex', 'ApexLegends', 'APEXフレンド募集', 'Forge', 'HEC', 'TURKISHSTARS']",charok101,2022-12-29 23:42:43+00:00,"I did the thing! 💕 #PlayApex #ApexLegends #APEXフレンド募集 #Forge #HEC #TURKISHSTARS 
Source: https://t.co/iZOiG5NWba https://t.co/mnS4NPglMT"
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:42:00+00:00,"Sheeesh
#PS5Share #ApexLegends https://t.co/ceK1XQmCQ0"
,1212,,ImNutty__,2022-12-29 23:41:52+00:00,@DylanFlicks @Goonytunes_ @PlayApex The last 3 in S can be replaced. The man bun is the only one debatable
,221,,DylanFlicks,2022-12-29 23:40:51+00:00,@ImNutty__ @Goonytunes_ @PlayApex It's hard tho not all of them can be s tier 🤣 so many good ass skins
Paraguay,123,"['apexlegends', 'anime', 'streaminganime', 'livestreaming', 'facebookgaming', 'TwitchStreamer', 'twitchgaming', 'twitch', 'cachorrovolador', 'triunviratoinquisidor']",triunviratoreal,2022-12-29 23:40:41+00:00,LIVE NOW https://t.co/p4Cw5PhxkS |  https://t.co/BbhPXVnEeL | https://t.co/AcIMuOfsb1 | #apexlegends #anime #streaminganime #livestreaming #facebookgaming #TwitchStreamer #twitchgaming #twitch #cachorrovolador #triunviratoinquisidor
