Username,Datetime,Text
ANyein2001,2022-12-01 23:59:47+00:00,"Songs that didn't counted on Spotify Wrapped for BTS and members:

— Left and Right 
— Christmas Tree (didn’t appear in any army Spotify wrapped)
— Bad Decisions 
— Sexy Nukim 
— Rush Hour 
— My Universe
— That That
— Girl of my Dreams

@Spotify @SpotifyCares you are so scared?"
la_danonino1,2022-12-01 23:59:45+00:00,@myglosshy @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power?
Amylenn86875965,2022-12-01 23:59:45+00:00,Thanks @adele for spending 243 minutes with me in 2022. I couldn’t stop listening to All I Ask. #SpotifyWrapped    https://t.co/tADaRjzsIr
sadieb127,2022-12-01 23:59:45+00:00,"Thanks @JAYBUMAOM For Always Being There For Me ❤️ 2020, 2021 &amp; 2022. #JayPark #박재범 #SpotifyWrapped https://t.co/E2p7P8mw54"
bourdon_simon,2022-12-01 23:59:44+00:00,"Thanks @imaginedragons for spending 3,470 minutes with me in 2022. I couldn’t stop listening to Sharks. #SpotifyWrapped https://t.co/krrAk0LNVx"
x11tete11x,2022-12-01 23:59:42+00:00,"Thanks @offspring for spending 4,788 minutes with me in 2022. I couldn’t stop listening to Want You Bad. #SpotifyWrapped https://t.co/vJByenSNWJ"
greenygohar,2022-12-01 23:59:42+00:00,"Blessed

#SpotifyWrapped https://t.co/aV5dQh3tJv"
oijuliamoura,2022-12-01 23:59:42+00:00,"Thanks @jackjohnson for spending 1,109 minutes with me in 2022. I couldn’t stop listening to Sunsets For Somebody Else. #SpotifyWrapped https://t.co/yeSYQHRF1B"
shoeslocal_id,2022-12-01 23:59:42+00:00,"Morning.

Welcome Desember.

#Desember #welcomedesember #NewYear #NewYear2023 #FIFAWorldCup #SpotifyWrapped #desemberwish https://t.co/TEzQpizd0P"
CultoNam,2022-12-01 23:59:42+00:00,"Por favor no desinstalen la aplicación de Spotify estamos a horas del estreno del álbum de Namjoon, demostremos lo que somos.
#SpotifyCorrupt #SpotifyWrapped"
omg_sanji,2022-12-01 23:59:41+00:00,#SpotifyWrapped https://t.co/CzZzLrNh95
kali_gph,2022-12-01 23:59:41+00:00,"@statsforbangtan @Spotify @SpotifyCares Hi, @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power?"
BrendaGutierreM,2022-12-01 23:59:41+00:00,Mi playlist de Spotify Wrapped&gt;&gt;&gt;&gt;🛐
